taxonKey,acceptedTaxonKey,scientificName,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,introduction pathway 1,introduction pathway 2,introduction pathway 3,introduction pathway 4,introduction pathway 5,introduction pathway 6,introduction pathway 7,date first observation,date last observation,source,occurrence remarks,native range,terrestrial,marine,freshwater,date added,added by,verified by
2679436,2679436,Thuidium tamariscinum (Hedw.) Schimp.,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,species,,Wallonia,BE,,native,native,,,,,,,,1866-12-31,2025-10-27 9:11:15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679436,2679436,Thuidium tamariscinum (Hedw.) Schimp.,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,species,,Brussels,BE,,native,native,,,,,,,,1866-12-31,2025-10-27 9:11:15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679445,2679445,Thuidium delicatulum (Hedw.) Schimp.,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,species,,Belgium,BE,,native,native,,,,,,,,1872-12-31,2024-06-26,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679445,2679445,Thuidium delicatulum (Hedw.) Schimp.,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,species,,Flanders,BE,,native,native,,,,,,,,1872-12-31,2024-06-26,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679445,2679445,Thuidium delicatulum (Hedw.) Schimp.,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,species,,Wallonia,BE,,native,native,,,,,,,,1872-12-31,2024-06-26,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679480,2679480,Thuidium assimile (Mitt.) A.Jaeger,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,species,,Belgium,BE,,native,native,,,,,,,,1980-11-09,2019-10-03,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679480,2679480,Thuidium assimile (Mitt.) A.Jaeger,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,species,,Wallonia,BE,,native,native,,,,,,,,1980-11-09,2019-10-03,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679482,2679482,Thuidium recognitum (Hedw.) Lindb.,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,species,,Belgium,BE,,native,native,,,,,,,,1886-05-04,2024-03-17,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679482,2679482,Thuidium recognitum (Hedw.) Lindb.,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,species,,Flanders,BE,,native,native,,,,,,,,1886-05-04,2024-03-17,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679482,2679482,Thuidium recognitum (Hedw.) Lindb.,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,species,,Wallonia,BE,,native,native,,,,,,,,1886-05-04,2024-03-17,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679656,2679656,Pseudotaxiphyllum elegans (Brid.) Z.Iwats.,Plantae,Bryophyta,Bryopsida,Hypnales,Plagiotheciaceae,Pseudotaxiphyllum,species,,Belgium,BE,,native,native,,,,,,,,1866-07-09,2024-11-26,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679656,2679656,Pseudotaxiphyllum elegans (Brid.) Z.Iwats.,Plantae,Bryophyta,Bryopsida,Hypnales,Plagiotheciaceae,Pseudotaxiphyllum,species,,Flanders,BE,,native,native,,,,,,,,1866-07-09,2024-11-26,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679656,2679656,Pseudotaxiphyllum elegans (Brid.) Z.Iwats.,Plantae,Bryophyta,Bryopsida,Hypnales,Plagiotheciaceae,Pseudotaxiphyllum,species,,Wallonia,BE,,native,native,,,,,,,,1866-07-09,2024-11-26,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
